Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,2021-07-01 to 2021-12-31,,,,0.00%,,
Qmetric Group Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,24.20%,,
Quilter Investment Platform Limited,QUILTER PLC,no,2021-07-01 to 2021-12-31,,,,,86.20%,
Quilter Life & Pensions Limited,QUILTER PLC GROUP,no,2021-07-01 to 2021-12-31,,86.70%,,,89.90%,
Quint Group Limited,NO GROUP,no,2021-03-29 to 2021-09-28,0.70%,,,,,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,no,2021-07-01 to 2021-12-31,,,,42.40%,,
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,no,2021-07-01 to 2021-12-31,,,,,75.00%,
ReAssure Life Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,36.60%,,28.40%,51.30%,
ReAssure Limited,SWISS RE AG,no,2021-07-01 to 2021-12-31,,76.60%,25.00%,50.90%,64.80%,
Reassured Ltd,NO GROUP,no,2021-02-01 to 2021-07-31,,,,61.80%,,
Retail Money Market Ltd,RETAIL MONEY MARKET LTD,no,2021-07-01 to 2021-12-31,,,,,28.60%,
Right Choice Insurance Brokers Ltd,NO GROUP,no,2021-07-01 to 2021-12-31,,,,31.10%,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2021-07-01 to 2021-12-31,,,,64.10%,,
Saga Services Limited,SAGA PLC,no,2021-02-01 to 2021-07-31,,,,36.70%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2021-03-01 to 2021-08-31,66.80%,,2.30%,54.00%,,
Santander Cards UK Limited,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,11.10%,,,10.30%,,
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,,,,0.00%,,
Santander ISA Managers Limited,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,,,,,52.60%,
Santander UK Plc,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,41.70%,16.70%,56.40%,11.30%,18.90%,
Scottish Equitable Plc,AEGON NV,no,2021-07-01 to 2021-12-31,,58.50%,,46.80%,58.20%,
Scottish Friendly Assurance Society Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,89.70%,0.00%,54.30%,72.60%,
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,85.40%,,75.20%,92.00%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,,,76.20%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2021-07-01 to 2021-12-31,54.60%,,0.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2021-07-01 to 2021-12-31,48.30%,,59.80%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2021-07-01 to 2021-12-31,,,,68.00%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2021-07-01 to 2021-12-31,,,,33.70%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2021-07-01 to 2021-12-31,76.40%,88.20%,55.00%,35.00%,75.40%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2021-07-01 to 2021-12-31,,,,41.00%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,45.20%,,
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,2021-07-01 to 2021-12-31,,,,58.30%,,
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,,54.70%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2021-07-01 to 2021-12-31,,78.30%,,70.60%,80.10%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE GROUP,no,2021-07-01 to 2021-12-31,0.00%,30.10%,33.30%,20.00%,32.90%,
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,2021-07-01 to 2021-12-31,,54.60%,50.00%,34.10%,51.90%,
Starling Bank Limited,NO GROUP,no,2021-04-01 to 2021-09-30,27.40%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2021-07-01 to 2021-12-31,,,,76.80%,,
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,2021-04-01 to 2021-09-30,,,,80.50%,,
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,2021-07-01 to 2021-12-31,,64.80%,,34.60%,56.80%,
Target Servicing Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,43.40%,,,
Telefonica UK Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,6.10%,,
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,2021-04-01 to 2021-09-30,,,,40.60%,,
Tesco Personal Finance PLC,TESCO PLC,no,2021-03-01 to 2021-08-31,48.40%,,,43.10%,,
Tesco Underwriting Limited,AGEAS SA-NV,no,2021-07-01 to 2021-12-31,,,,52.00%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2021-07-01 to 2021-12-31,32.80%,,63.90%,36.40%,0.00%,
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,46.70%,,,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2021-04-01 to 2021-09-30,,,53.40%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2021-07-01 to 2021-12-31,,48.10%,,60.20%,40.50%,
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,2021-07-01 to 2021-12-31,,89.90%,50.00%,90.70%,88.30%,
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2021-07-01 to 2021-12-31,72.30%,60.00%,78.70%,73.10%,57.40%,
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2021-07-01 to 2021-12-31,,,,51.20%,,
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,2021-07-01 to 2021-12-31,,,44.10%,,,
TSB Bank plc,BANCO DE SABADELL SA,no,2021-07-01 to 2021-12-31,67.90%,,62.20%,50.90%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2021-07-01 to 2021-12-31,,,,70.90%,,
UK General Insurance Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,41.40%,,
UK Warranty Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,68.70%,,
Unum Ltd,NO GROUP,no,2021-07-01 to 2021-12-31,,,,65.70%,,
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,2021-07-01 to 2021-12-31,,80.30%,,,81.50%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2021-07-01 to 2021-12-31,23.30%,,,,,
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,2021-07-01 to 2021-12-31,,69.20%,,54.50%,83.30%,
Vodafone Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,60.70%,,
Volkswagen Financial Services (UK) Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,100.00%,,
Xbridge Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,42.20%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2021-07-01 to 2021-12-31,66.10%,,65.90%,60.00%,0.00%,
Zopa Bank Limited,NO GROUP,yes,2021-07-01 to 2021-12-31,36.00%,,,,50.00%,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2021-07-01 to 2021-12-31,,37.50%,0.00%,45.10%,55.10%,
Abraxas Insurance Administration Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,51.5%,,51.5%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,01-01-2021 to 30-06-2021,100.0%,,57.3%,,,57.5%
Accredited Insurance (Europe) Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,33.1%,,33.1%
Acm Ulr Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,37.2%,,37.2%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Acromas Insurance Company Limited,SAGA PLC,no,01-08-2020 to 31-01-2021,,,,35.1%,,35.1%
Adrian Flux Insurance Services Group,NO GROUP,no,01-09-2020 to 28-02-2021,,,,14.6%,,14.6%
Advanced Payment Solutions Limited,NO GROUP,no,01-10-2020 to 31-03-2021,19.6%,,,,,19.6%
Ageas Insurance Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,40.3%,,40.3%
Ageas Retail Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,40.9%,,40.9%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,01-01-2021 to 30-06-2021,48.6%,,51.1%,0.0%,50.0%,48.4%
AJ Bell Management Limited,NO GROUP,no,01-10-2020 to 31-03-2021,40.0%,55.6%,,,,55.5%
AJ Bell Securities Limited,AJ BELL PLC,no,01-10-2020 to 31-03-2021,,48.5%,,,56.2%,54.4%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,56.0%,,47.4%,,,51.6%
Allianz Insurance Plc,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,63.5%,,63.5%
Allianz plc,NO GROUP,no,01-01-2021 to 30-06-2021,,,,8.9%,,8.9%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,01-01-2021 to 30-06-2021,40.5%,,,63.0%,,41.5%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,01-12-2020 to 31-05-2021,,,,63.1%,,63.1%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,44.5%,,44.5%
Animal Friends Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,yes,01-01-2021 to 30-06-2021,,,,50.8%,,50.8%
Assurant General Insurance Limited,ASSURANT INC,no,01-01-2021 to 30-06-2021,,,,50.7%,,50.7%
Asurion Europe Limited,NEW ASURION CORP,no,01-01-2021 to 30-06-2021,,,,37.1%,,37.1%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,34.7%,,34.7%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,43.9%,,43.9%
Atom Bank PLC,ATOM BANK PLC,no,01-10-2020 to 31-03-2021,31.8%,,37.3%,,,32.9%
Automobile Association Insurance Services Limited,NO GROUP,no,01-08-2020 to 31-01-2021,,,,37.9%,,37.9%
Aviva Insurance Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,63.7%,,63.7%
Aviva Life Services UK Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,73.1%,33.1%,49.1%,65.9%,66.3%
AWP Assistance UK Ltd,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,68.7%,,68.7%
AWP P&C SA,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,17.7%,,17.7%
AXA France IARD,AXA GROUP,no,01-01-2021 to 30-06-2021,,,,2.9%,,2.9%
AXA Insurance UK Plc,AXA SA,no,01-01-2021 to 30-06-2021,,,,57.3%,,57.3%
AXA PPP Healthcare Limited,AXA SA,no,01-01-2021 to 30-06-2021,,,,43.0%,,43.0%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED,no,01-10-2020 to 31-03-2021,,13.9%,,,,13.9%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,01-01-2021 to 30-06-2021,43.3%,,23.3%,47.9%,0.0%,41.2%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,57.4%,52.2%,54.1%,23.3%,37.6%,53.1%
Barclays Bank Plc,BARCLAYS PLC,no,01-01-2021 to 30-06-2021,65.0%,50.0%,100.0%,,81.8%,65.0%
Barclays Bank UK PLC,BARCLAYS PLC,yes,01-01-2021 to 30-06-2021,59.5%,47.1%,70.5%,33.5%,52.5%,59.5%
Bennetts Motorcycling Services Limited,SAGA PLC,no,01-01-2021 to 30-06-2021,,,,35.0%,,35.0%
BISL Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,42.1%,,42.1%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,42.9%,72.7%,,72.7%
BMW Financial Services(GB) Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,66.7%,,66.7%
Bollington Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,no,01-01-2021 to 30-06-2021,,,,17.9%,,17.9%
Bought By Many Ltd,NO GROUP,no,01-10-2020 to 31-03-2021,,,,41.3%,,41.3%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,01-10-2020 to 31-03-2021,,42.9%,38.1%,28.3%,48.4%,38.2%
Brightside Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,54.9%,,54.9%
British Gas Services Limited,CENTRICA PLC,yes,01-01-2021 to 30-06-2021,,,,98.9%,,98.9%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,yes,01-01-2021 to 30-06-2021,,,,57.9%,,57.9%
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP COMPANY,no,01-01-2021 to 30-06-2021,,,50.0%,,,50.0%
Call Assist Ltd,CALL ASSIST LIMITED,no,01-11-2020 to 30-04-2021,,,,57.8%,,57.8%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,01-01-2021 to 30-06-2021,20.4%,,,39.3%,,21.3%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,36.1%,,36.1%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,64.9%,,64.9%
Cater Allen Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,65.4%,,,,,65.4%
Caversham Insurance Limited,NO GROUP,no,16-10-2020 to 15-04-2021,,,,,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,01-01-2021 to 30-06-2021,27.5%,,38.4%,,,36.1%
Chubb European Group SE,CHUBB LIMITED,no,01-01-2021 to 30-06-2021,,,,72.5%,,72.5%
Citibank UK Limited,CITIGROUP INC,no,01-01-2021 to 30-06-2021,21.7%,,,,68.2%,23.4%
ClearBank Limited,NO GROUP,no,01-01-2021 to 30-06-2021,37.0%,,,,,37.0%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,01-08-2020 to 31-01-2021,45.7%,,,36.8%,,41.7%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,no,01-10-2020 to 31-03-2021,73.2%,0.0%,70.3%,42.9%,16.7%,56.6%
Cofunds Limited,AEGON GROUP,no,01-01-2021 to 30-06-2021,,56.0%,,,57.0%,56.9%
Collinson Insurance Services Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,12.7%,,12.7%
Connells Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,50.5%,41.3%,,49.6%
Corgi Homeplan Ltd,US BANCORP,no,01-01-2021 to 30-06-2021,,,,82.7%,,82.7%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,50.6%,100.0%,58.7%,43.8%,70.0%,52.6%
Covea Insurance plc,NO GROUP,yes,01-01-2021 to 30-06-2021,,,,38.0%,,38.0%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,52.3%,,75.0%,55.0%,,56.5%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,39.7%,,,0.0%,,39.7%
Creation Financial Services Limited,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,39.5%,,,14.5%,,38.3%
Currys Retail Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,30.5%,,30.5%
Curtis Banks Limited,CURTIS BANKS GROUP,no,01-01-2021 to 30-06-2021,,68.7%,,,,68.7%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,01-01-2021 to 30-06-2021,56.7%,,50.0%,,,56.6%
DAS Legal Expenses Insurance Company Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,78.0%,,78.0%
Devitt Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,23.8%,,23.8%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,01-10-2020 to 31-03-2021,,,,75.9%,,75.9%
Drydens Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,0.0%,,,0.0%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,01-10-2020 to 31-03-2021,,,47.2%,,,47.2%
Endsleigh Insurance Services Limited,NO GROUP,no,01-09-2020 to 28-02-2021,,,,45.0%,,45.0%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,01-01-2021 to 30-06-2021,,28.4%,,,27.0%,27.1%
esure Insurance Limited,ESURE GROUP PLC,no,01-01-2021 to 30-06-2021,,,,57.9%,,57.9%
eToro (UK) Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,2.7%,2.7%
EUI Limited,ADMIRAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,,50.7%,,50.7%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,16.8%,,16.8%
Everyday Loans Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,75.0%,,75.0%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,01-01-2021 to 30-06-2021,,,,31.6%,,31.6%
Experian Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,0.0%,2.6%,,2.3%
Extracover Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Fairmead Insurance Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,71.2%,,71.2%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,01-01-2021 to 30-06-2021,30.9%,,,,47.0%,39.1%
FCE Bank Plc,FORD MOTOR CO,no,01-01-2021 to 30-06-2021,29.6%,,,,,29.6%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,35.3%,,,,35.3%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,66.9%,,,60.5%,62.3%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,59.7%,,59.7%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,52.1%,,52.1%
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,01-01-2021 to 30-06-2021,,34.8%,,31.9%,23.3%,24.5%
Freetrade Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,,27.8%,27.8%
Fresh Insurance Services Group Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,81.5%,,81.5%
Funding Circle Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,6.5%,6.5%
Gresham Insurance Company Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,37.7%,,37.7%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,51.2%,,,49.0%,49.0%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,01-01-2021 to 30-06-2021,,40.0%,,,31.0%,31.0%
Hastings Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,66.6%,,66.6%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,,73.6%,73.6%
Henderson Global Investors Limited,JANUS HENDERSON GROUP,no,01-01-2021 to 30-06-2021,,,,,29.9%,29.9%
Highway Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,47.6%,,47.6%
Hitachi Capital (UK) PLC,NO GROUP,no,01-10-2020 to 31-03-2021,,,,0.0%,,0.0%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,01-09-2020 to 28-02-2021,32.2%,,,,,32.2%
Homeserve Membership Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,68.4%,,68.4%
Howserv Limited,STAYSURE HOLDINGS LTD,no,01-01-2021 to 30-06-2021,,,,7.6%,,7.6%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,56.8%,59.7%,62.2%,59.2%,59.3%,57.2%
I Go 4 Ltd.,NO GROUP,no,01-01-2021 to 30-06-2021,,,,41.4%,,41.4%
Ikano Bank AB (publ),NO GROUP,no,01-01-2021 to 30-06-2021,25.1%,,,40.0%,,25.2%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,59.3%,,59.3%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,66.5%,,,42.9%,44.7%
Invesco Fund Managers Limited,INVESCO LTD,no,01-01-2021 to 30-06-2021,,,,,58.8%,58.8%
Investec Bank PLC,INVESTEC PLC,no,01-10-2020 to 31-03-2021,37.4%,,84.6%,,47.4%,38.5%
Investment Funds Direct Limited,M&G GROUP,no,01-01-2021 to 30-06-2021,,71.6%,,,83.1%,77.3%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,01-09-2020 to 28-02-2021,,,,4.3%,,4.3%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,01-01-2021 to 30-06-2021,66.3%,,,,,66.3%
James Hay Administration Company Ltd,IFG GROUP LIMITED,no,01-01-2021 to 30-06-2021,,67.4%,,,,67.4%
Kensington Mortgage Company Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,41.5%,,,41.5%
Landmark Mortgages Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,51.5%,,,51.5%
LeasePlan UK Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,50.0%,,50.0%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,56.8%,,58.5%,25.0%,0.0%,57.3%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,90.4%,,,36.7%,87.5%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,86.9%,33.3%,,85.2%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,69.8%,,49.0%,,53.6%
Legal Insurance Management Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,31.1%,,31.1%
Link Market Services Trustees Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,74.7%,74.7%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,89.4%,,61.3%,86.0%,73.8%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,61.9%,,61.9%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,59.8%,,59.8%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,60.7%,25.2%,57.7%,41.4%,30.2%,58.9%
London and Country Mortgages Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,68.5%,26.8%,,66.4%
London General Insurance Company Limited,TWG EUROPE LIMITED,no,01-01-2021 to 30-06-2021,,,,58.4%,,58.4%
M & G Securities Limited,M&G PLC GROUP,no,01-01-2021 to 30-06-2021,,,,,32.5%,32.5%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,no,01-01-2021 to 30-06-2021,,,,58.0%,,58.0%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,48.7%,,69.0%,61.5%,,49.2%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,50.0%,,,10.4%,,36.0%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,01-01-2021 to 30-06-2021,,,,,,
Metro Bank PLC,METRO BANK PLC,no,01-01-2021 to 30-06-2021,42.0%,,51.7%,,,42.4%
Monzo Bank Ltd,MONZO BANK LIMITED,no,01-09-2020 to 28-02-2021,36.6%,,,15.8%,,36.5%
Moorcroft Debt Recovery Limited,NO GROUP,no,01-08-2020 to 31-01-2021,46.0%,,,,,46.0%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,01-01-2021 to 30-06-2021,22.2%,,,,,22.2%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,48.8%,,48.8%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,01-10-2020 to 31-03-2021,,,,,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,66.8%,4.0%,70.9%,72.1%,66.0%,67.2%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,05-10-2020 to 04-04-2021,48.6%,33.3%,57.2%,70.0%,22.3%,54.7%
Neilson Financial Services Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,38.4%,,38.4%
Newline Insurance Company Limited,ODYSSEY GROUP HOLDINGS INC,no,01-01-2021 to 30-06-2021,,,,,,
Next Risk Solutions Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,34.1%,,34.1%
Northern Bank Limited,DANSKE BANK A/S,no,01-01-2021 to 30-06-2021,23.3%,,43.2%,0.0%,,24.0%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,01-10-2020 to 31-03-2021,,,29.6%,90.9%,33.3%,69.6%
One Call Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,23.3%,,23.3%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,01-01-2021 to 30-06-2021,43.2%,,45.9%,,,44.4%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,01-01-2021 to 30-06-2021,,,,72.5%,,72.5%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,01-10-2020 to 31-03-2021,34.8%,,50.9%,6.1%,,40.6%
Pet Protect Ltd,PET HEALTH INC.,no,01-01-2021 to 30-06-2021,,,,56.7%,,56.7%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,72.5%,100.0%,67.2%,74.8%,71.4%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,61.0%,66.7%,55.4%,61.9%,58.8%
Pinnacle Insurance Plc,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,,,,37.1%,,37.1%
Post Office Management Services Limited,POST OFFICE LIMITED,no,01-10-2020 to 31-03-2021,,,,28.1%,,28.1%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,52.3%,,55.3%,50.0%,0.0%,53.2%
