Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
Allianz Insurance Plc,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,42.6%,,42.6%
Allianz plc,NO GROUP,no,01-01-2021 to 30-06-2021,,,,92.6%,,92.6%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,01-01-2021 to 30-06-2021,23.8%,,,6.9%,,23.1%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,01-12-2020 to 31-05-2021,,,,57.7%,,57.7%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,7.0%,,7.0%
Animal Friends Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,yes,01-01-2021 to 30-06-2021,,,,31.8%,,31.8%
Assurant General Insurance Limited,ASSURANT INC,no,01-01-2021 to 30-06-2021,,,,59.2%,,59.2%
Asurion Europe Limited,NEW ASURION CORP,no,01-01-2021 to 30-06-2021,,,,30.2%,,30.2%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,51.4%,,51.4%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,66.1%,,66.1%
Atom Bank PLC,ATOM BANK PLC,no,01-10-2020 to 31-03-2021,55.2%,,50.0%,,,54.1%
Automobile Association Insurance Services Limited,NO GROUP,no,01-08-2020 to 31-01-2021,,,,42.7%,,42.7%
Aviva Insurance Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,34.0%,,34.0%
Aviva Life Services UK Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,30.2%,31.0%,39.6%,32.6%,32.1%
AWP Assistance UK Ltd,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,10.7%,,10.7%
AWP P&C SA,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,10.5%,,10.5%
AXA France IARD,AXA GROUP,no,01-01-2021 to 30-06-2021,,,,5.0%,,5.0%
AXA Insurance UK Plc,AXA SA,no,01-01-2021 to 30-06-2021,,,,44.9%,,44.9%
AXA PPP Healthcare Limited,AXA SA,no,01-01-2021 to 30-06-2021,,,,82.7%,,82.7%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED,no,01-10-2020 to 31-03-2021,,61.0%,,,,61.0%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,01-01-2021 to 30-06-2021,34.2%,,27.7%,37.6%,0.0%,33.5%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,50.9%,13.0%,61.4%,17.3%,19.1%,49.0%
Barclays Bank Plc,BARCLAYS PLC,no,01-01-2021 to 30-06-2021,77.3%,50.0%,0.0%,,27.3%,77.2%
Barclays Bank UK PLC,BARCLAYS PLC,yes,01-01-2021 to 30-06-2021,59.5%,34.6%,44.9%,14.3%,19.5%,55.3%
Bennetts Motorcycling Services Limited,SAGA PLC,no,01-01-2021 to 30-06-2021,,,,68.6%,,68.6%
BISL Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,43.5%,,43.5%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,14.3%,1.1%,,1.1%
BMW Financial Services(GB) Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
Bollington Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,no,01-01-2021 to 30-06-2021,,,,33.7%,,33.7%
Bought By Many Ltd,NO GROUP,no,01-10-2020 to 31-03-2021,,,,32.9%,,32.9%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,01-10-2020 to 31-03-2021,,0.0%,12.8%,18.5%,1.1%,12.0%
Brightside Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,28.4%,,28.4%
British Gas Services Limited,CENTRICA PLC,yes,01-01-2021 to 30-06-2021,,,,68.2%,,68.2%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,yes,01-01-2021 to 30-06-2021,,,,54.7%,,54.7%
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP COMPANY,no,01-01-2021 to 30-06-2021,,,0.0%,,,0.0%
Call Assist Ltd,CALL ASSIST LIMITED,no,01-11-2020 to 30-04-2021,,,,57.3%,,57.3%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,01-01-2021 to 30-06-2021,26.6%,,,46.9%,,27.5%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,36.5%,,36.5%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,46.8%,,46.8%
Cater Allen Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,45.3%,,,,,45.3%
Caversham Insurance Limited,NO GROUP,no,16-10-2020 to 15-04-2021,,,,,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,01-01-2021 to 30-06-2021,33.9%,,32.3%,,,32.6%
Chubb European Group SE,CHUBB LIMITED,no,01-01-2021 to 30-06-2021,,,,59.8%,,59.8%
Citibank UK Limited,CITIGROUP INC,no,01-01-2021 to 30-06-2021,62.4%,,,,6.1%,60.3%
ClearBank Limited,NO GROUP,no,01-01-2021 to 30-06-2021,12.4%,,,,,12.4%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,01-08-2020 to 31-01-2021,77.1%,,,7.0%,,45.7%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,no,01-10-2020 to 31-03-2021,39.8%,20.0%,32.1%,0.1%,4.2%,18.0%
Cofunds Limited,AEGON GROUP,no,01-01-2021 to 30-06-2021,,5.2%,,,12.3%,11.7%
Collinson Insurance Services Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,1.3%,,1.3%
Connells Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,5.5%,6.7%,,5.6%
Corgi Homeplan Ltd,US BANCORP,no,01-01-2021 to 30-06-2021,,,,32.1%,,32.1%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,46.5%,14.3%,15.2%,43.8%,15.0%,41.7%
Covea Insurance plc,NO GROUP,yes,01-01-2021 to 30-06-2021,,,,30.9%,,30.9%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,74.4%,,46.6%,15.0%,,69.0%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,1.8%,,,0.0%,,1.8%
Creation Financial Services Limited,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,1.9%,,,1.4%,,1.9%
Currys Retail Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,43.6%,,43.6%
Curtis Banks Limited,CURTIS BANKS GROUP,no,01-01-2021 to 30-06-2021,,24.0%,,,,24.0%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,01-01-2021 to 30-06-2021,42.9%,,70.0%,,,43.2%
DAS Legal Expenses Insurance Company Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,20.1%,,20.1%
Devitt Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,65.7%,,65.7%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,01-10-2020 to 31-03-2021,,,,34.5%,,34.5%
Drydens Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,0.0%,,,0.0%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,01-10-2020 to 31-03-2021,,,17.7%,,,17.7%
Endsleigh Insurance Services Limited,NO GROUP,no,01-09-2020 to 28-02-2021,,,,35.2%,,35.2%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,01-01-2021 to 30-06-2021,,19.0%,,,49.0%,48.1%
esure Insurance Limited,ESURE GROUP PLC,no,01-01-2021 to 30-06-2021,,,,56.4%,,56.4%
eToro (UK) Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,40.2%,40.2%
EUI Limited,ADMIRAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,,49.2%,,49.2%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,74.0%,,74.0%
Everyday Loans Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,01-01-2021 to 30-06-2021,,,,86.1%,,86.1%
Experian Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,50.0%,66.7%,,65.1%
Extracover Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Fairmead Insurance Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,27.8%,,27.8%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,01-01-2021 to 30-06-2021,47.3%,,,,40.1%,43.6%
FCE Bank Plc,FORD MOTOR CO,no,01-01-2021 to 30-06-2021,17.0%,,,,,17.0%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,37.0%,,,,37.0%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,8.0%,,,9.7%,9.2%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,62.3%,,62.3%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,2.1%,,2.1%
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,01-01-2021 to 30-06-2021,,17.4%,,29.8%,32.8%,31.9%
Freetrade Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,,6.5%,6.5%
Fresh Insurance Services Group Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,26.2%,,26.2%
Funding Circle Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,8.6%,8.6%
Gresham Insurance Company Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,62.7%,,62.7%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,51.2%,,,65.4%,65.1%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,01-01-2021 to 30-06-2021,,26.7%,,,11.4%,11.4%
Hastings Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,42.0%,,42.0%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,,35.3%,35.3%
Henderson Global Investors Limited,JANUS HENDERSON GROUP,no,01-01-2021 to 30-06-2021,,,,,16.5%,16.5%
Highway Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,34.7%,,34.7%
Hitachi Capital (UK) PLC,NO GROUP,no,01-10-2020 to 31-03-2021,,,,16.7%,,16.7%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,01-09-2020 to 28-02-2021,52.9%,,,,,52.9%
Homeserve Membership Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,52.6%,,52.6%
Howserv Limited,STAYSURE HOLDINGS LTD,no,01-01-2021 to 30-06-2021,,,,43.9%,,43.9%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,65.7%,20.9%,38.6%,24.4%,26.3%,62.5%
I Go 4 Ltd.,NO GROUP,no,01-01-2021 to 30-06-2021,,,,64.1%,,64.1%
Ikano Bank AB (publ),NO GROUP,no,01-01-2021 to 30-06-2021,27.5%,,,0.0%,,27.5%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,57.4%,,57.4%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,20.3%,,,27.5%,26.9%
Invesco Fund Managers Limited,INVESCO LTD,no,01-01-2021 to 30-06-2021,,,,,15.1%,15.1%
Investec Bank PLC,INVESTEC PLC,no,01-10-2020 to 31-03-2021,83.9%,,61.5%,,28.9%,81.3%
Investment Funds Direct Limited,M&G GROUP,no,01-01-2021 to 30-06-2021,,23.1%,,,27.3%,25.2%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,01-09-2020 to 28-02-2021,,,,30.4%,,30.4%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,01-01-2021 to 30-06-2021,21.4%,,,,,21.4%
James Hay Administration Company Ltd,IFG GROUP LIMITED,no,01-01-2021 to 30-06-2021,,1.8%,,,,1.8%
Kensington Mortgage Company Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,37.4%,,,37.4%
Landmark Mortgages Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,3.9%,,,3.9%
LeasePlan UK Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,76.6%,,53.2%,54.2%,100.0%,62.1%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,25.0%,,,26.7%,25.1%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,2.6%,0.0%,,2.6%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,23.7%,,42.9%,,38.7%
Legal Insurance Management Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,18.4%,,18.4%
Link Market Services Trustees Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,4.8%,4.8%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,48.0%,,65.8%,68.0%,60.8%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,48.8%,,48.8%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,32.8%,,32.8%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,45.9%,13.8%,59.9%,12.0%,22.5%,44.0%
London and Country Mortgages Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,11.4%,4.9%,,11.0%
London General Insurance Company Limited,TWG EUROPE LIMITED,no,01-01-2021 to 30-06-2021,,,,27.8%,,27.8%
M & G Securities Limited,M&G PLC GROUP,no,01-01-2021 to 30-06-2021,,,,,26.4%,26.4%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,no,01-01-2021 to 30-06-2021,,,,23.3%,,23.3%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,83.3%,,4.8%,64.3%,,82.5%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,65.4%,,,2.9%,,43.3%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,01-01-2021 to 30-06-2021,,,,,,
Metro Bank PLC,METRO BANK PLC,no,01-01-2021 to 30-06-2021,60.7%,,44.6%,,,60.2%
Monzo Bank Ltd,MONZO BANK LIMITED,no,01-09-2020 to 28-02-2021,35.4%,,,26.3%,,35.3%
Moorcroft Debt Recovery Limited,NO GROUP,no,01-08-2020 to 31-01-2021,20.5%,,,,,20.5%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,01-01-2021 to 30-06-2021,61.4%,,,,,61.4%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,4.9%,,4.9%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,01-10-2020 to 31-03-2021,,,,,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,45.2%,0.0%,38.2%,9.6%,25.9%,43.7%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,05-10-2020 to 04-04-2021,49.5%,33.3%,16.4%,0.3%,16.8%,33.8%
Neilson Financial Services Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,79.5%,,79.5%
Newline Insurance Company Limited,ODYSSEY GROUP HOLDINGS INC,no,01-01-2021 to 30-06-2021,,,,,,
Next Risk Solutions Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,65.9%,,65.9%
Northern Bank Limited,DANSKE BANK A/S,no,01-01-2021 to 30-06-2021,61.0%,,29.7%,25.0%,,59.8%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,01-10-2020 to 31-03-2021,,,12.1%,5.8%,0.0%,8.0%
One Call Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,85.3%,,85.3%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,01-01-2021 to 30-06-2021,66.9%,,32.5%,,,51.7%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,01-01-2021 to 30-06-2021,,,,44.5%,,44.5%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,01-10-2020 to 31-03-2021,21.5%,,40.0%,24.5%,,30.0%
Pet Protect Ltd,PET HEALTH INC.,no,01-01-2021 to 30-06-2021,,,,32.5%,,32.5%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,21.9%,100.0%,18.1%,23.0%,21.1%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,45.7%,0.0%,56.7%,42.0%,49.9%
Pinnacle Insurance Plc,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,,,,41.9%,,41.9%
Post Office Management Services Limited,POST OFFICE LIMITED,no,01-10-2020 to 31-03-2021,,,,34.9%,,34.9%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,42.5%,,42.7%,33.3%,20.0%,42.4%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,01-01-2021 to 30-06-2021,,,,23.7%,,23.7%
Qmetric Group Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,39.7%,,39.7%
Quilter Investment Platform Limited,QUILTER PLC,no,01-01-2021 to 30-06-2021,,,,,1.6%,1.6%
Quilter Life & Pensions Limited,QUILTER PLC GROUP,no,01-01-2021 to 30-06-2021,,0.7%,,,0.7%,0.7%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,01-01-2021 to 30-06-2021,,,,,,
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,,,,,20.8%,20.8%
RCI Financial Services Limited,RENAULT,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
ReAssure Limited,SWISS RE AG,no,01-01-2021 to 30-06-2021,,7.1%,0.0%,9.6%,8.1%,7.7%
Resolution Compliance Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,0.0%,4.8%,4.8%
Retail Money Market Ltd,RETAIL MONEY MARKET LTD,no,01-01-2021 to 30-06-2021,,,,,66.2%,66.2%
Right Choice Insurance Brokers Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,01-01-2021 to 30-06-2021,,,,54.5%,,54.5%
Saga Services Limited,SAGA PLC,no,01-08-2020 to 31-01-2021,,,,58.9%,,58.9%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,01-09-2020 to 28-02-2021,59.7%,,2.1%,5.8%,,54.1%
Santander Cards UK Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,17.4%,,,1.4%,,1.4%
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,,,,1.8%,,1.8%
Santander ISA Managers Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,,,,,11.7%,11.7%
Santander UK Plc,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,72.6%,31.4%,55.9%,3.2%,3.2%,60.7%
Scottish Equitable Plc,AEGON NV,no,01-01-2021 to 30-06-2021,,21.6%,,36.8%,26.7%,23.6%
Scottish Friendly Assurance Society Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,1.6%,0.0%,3.1%,3.4%,2.8%
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,22.5%,,18.8%,22.3%,22.0%
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,,34.9%,34.9%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,01-01-2021 to 30-06-2021,32.4%,,21.5%,0.0%,,29.3%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,01-01-2021 to 30-06-2021,12.6%,,5.6%,,,10.6%
Shop Direct Finance Company Limited,THE VERY GROUP,no,01-01-2021 to 30-06-2021,,,,0.2%,,0.2%
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,21.9%,,21.9%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,53.8%,0.0%,50.2%,47.5%,7.1%,47.7%
Society of Lloyd's,SOCIETY OF LLOYD'S,no,01-01-2021 to 30-06-2021,,,,32.6%,,32.6%
Somerset Bridge Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,22.4%,,22.4%
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,57.4%,,57.4%
SquareTrade Limited,THE ALLSTATE CORP.,no,01-01-2021 to 30-06-2021,,,,80.0%,,80.0%
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,20.7%,,20.7%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,01-01-2021 to 30-06-2021,,3.7%,,0.0%,3.2%,3.5%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE GROUP,no,01-01-2021 to 30-06-2021,0.0%,0.3%,0.0%,0.0%,0.3%,0.3%
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,44.4%,4.3%,27.8%,31.5%,42.6%
Starling Bank Limited,NO GROUP,no,01-10-2020 to 31-03-2021,46.7%,,,,,46.7%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,01-01-2021 to 30-06-2021,,,,77.3%,,77.3%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,01-10-2020 to 31-03-2021,,,,0.0%,,0.0%
Suffolk Life Pensions Limited,CURTIS BANKS GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,01-01-2021 to 30-06-2021,,14.0%,,9.3%,13.6%,12.3%
Tandem Bank Limited,NO GROUP,no,01-01-2021 to 30-06-2021,4.9%,,,,,4.9%
Target Servicing Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,21.3%,,,21.3%
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,01-01-2021 to 30-06-2021,,,,45.3%,,45.3%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,01-10-2020 to 31-03-2021,,,,7.1%,,7.1%
Tesco Personal Finance PLC,TESCO PLC,no,01-09-2020 to 28-02-2021,40.6%,,,42.1%,,41.0%
Tesco Underwriting Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,48.6%,,48.6%
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,01-01-2021 to 30-06-2021,69.4%,66.7%,33.2%,26.7%,18.2%,64.5%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,58.7%,,,58.7%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,01-10-2020 to 31-03-2021,,,4.2%,,,4.2%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,01-01-2021 to 30-06-2021,,2.6%,,22.3%,4.3%,21.8%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,01-01-2021 to 30-06-2021,,24.7%,19.0%,21.2%,31.5%,25.8%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,48.3%,0.0%,32.8%,21.3%,20.3%,44.8%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,01-01-2021 to 30-06-2021,,35.2%,,50.4%,40.3%,40.7%
The Share Centre Limited,SHARE PLC,no,01-01-2021 to 30-06-2021,,8.3%,,,17.3%,17.0%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,01-01-2021 to 30-06-2021,,,6.2%,,,6.2%
Towergate Underwriting Group Limited,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,68.4%,,68.4%
Trading 212 UK Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
TSB Bank plc,BANCO DE SABADELL SA,no,01-01-2021 to 30-06-2021,78.6%,,61.3%,72.4%,,77.6%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,01-01-2021 to 30-06-2021,,,,61.3%,,61.3%
UK General Insurance Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,20.4%,,20.4%
Union Reiseversicherung AG,NO GROUP,no,01-10-2020 to 31-03-2021,,,,51.8%,,51.8%
Unum Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,13.0%,,13.0%
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,01-01-2021 to 30-06-2021,,29.7%,,,32.3%,31.6%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,01-01-2021 to 30-06-2021,34.2%,,,,,34.2%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,01-01-2021 to 30-06-2021,,18.2%,,54.9%,11.1%,54.8%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
Xbridge Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,12.9%,,12.9%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,50.9%,0.0%,31.2%,17.6%,0.0%,44.4%
Zopa Bank Limited,NO GROUP,yes,01-01-2021 to 30-06-2021,69.2%,,,,61.0%,67.2%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,01-01-2021 to 30-06-2021,,21.8%,0.0%,20.8%,21.9%,21.2%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,01-01-2021 to 30-06-2021,,,,43.7%,,43.7%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,01-07-2020 to 31-12-2020,63.6%,,34.3%,60.0%,,34.9%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,43.6%,,43.6%
Acromas Insurance Company Limited,SAGA PLC,no,01-02-2020 to 31-07-2020,,,,45.6%,,45.6%
Action 365 Ltd,NO GROUP,no,01-07-2020 to 31-12-2020,,,,17.2%,,17.2%
