Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Saga Services Limited,SAGA PLC,no,2021-02-01 to 2021-07-31,,,,20.80%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2021-03-01 to 2021-08-31,22.60%,,93.00%,64.70%,,
Santander Cards UK Limited,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,72.20%,,,6.50%,,
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,,,,38.50%,,
Santander ISA Managers Limited,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,,,,,56.40%,
Santander UK Plc,SANTANDER UK - GROUP,no,2021-07-01 to 2021-12-31,34.60%,53.30%,51.80%,32.10%,66.10%,
Scottish Equitable Plc,AEGON NV,no,2021-07-01 to 2021-12-31,,63.10%,,54.10%,73.10%,
Scottish Friendly Assurance Society Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,83.00%,0.00%,83.10%,95.40%,
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,59.90%,,61.70%,43.70%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,,,46.90%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2021-07-01 to 2021-12-31,79.80%,,60.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2021-07-01 to 2021-12-31,91.20%,,93.80%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2021-07-01 to 2021-12-31,,,,61.20%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2021-07-01 to 2021-12-31,,,,73.90%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2021-07-01 to 2021-12-31,60.80%,91.20%,74.00%,65.00%,95.10%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2021-07-01 to 2021-12-31,,,,56.20%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,60.10%,,
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,2021-07-01 to 2021-12-31,,,,52.30%,,
St Andrew's Insurance Plc,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,,75.60%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2021-07-01 to 2021-12-31,,66.60%,,76.50%,76.30%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE GROUP,no,2021-07-01 to 2021-12-31,0.00%,47.90%,44.40%,37.50%,44.20%,
Standard Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,2021-07-01 to 2021-12-31,,55.40%,0.00%,70.50%,60.20%,
Starling Bank Limited,NO GROUP,no,2021-04-01 to 2021-09-30,56.20%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2021-07-01 to 2021-12-31,,,,34.90%,,
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,2021-04-01 to 2021-09-30,,,,29.30%,,
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,2021-07-01 to 2021-12-31,,84.10%,,90.40%,88.40%,
Target Servicing Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,85.30%,,,
Telefonica UK Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,84.80%,,
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,2021-04-01 to 2021-09-30,,,,50.50%,,
Tesco Personal Finance PLC,TESCO PLC,no,2021-03-01 to 2021-08-31,45.90%,,,32.60%,,
Tesco Underwriting Limited,AGEAS SA-NV,no,2021-07-01 to 2021-12-31,,,,49.80%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2021-07-01 to 2021-12-31,23.70%,,35.00%,45.50%,50.00%,
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2021-07-01 to 2021-12-31,,,43.90%,,,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2021-04-01 to 2021-09-30,,,94.70%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2021-07-01 to 2021-12-31,,98.10%,,65.20%,97.60%,
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,2021-07-01 to 2021-12-31,,58.50%,60.00%,63.50%,61.60%,
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2021-07-01 to 2021-12-31,53.10%,40.00%,44.70%,8.00%,53.70%,
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2021-07-01 to 2021-12-31,,,,49.60%,,
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,2021-07-01 to 2021-12-31,,,91.10%,,,
TSB Bank plc,BANCO DE SABADELL SA,no,2021-07-01 to 2021-12-31,24.90%,,35.90%,22.60%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2021-07-01 to 2021-12-31,,,,40.20%,,
UK General Insurance Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,77.80%,,
UK Warranty Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,39.30%,,
Unum Ltd,NO GROUP,no,2021-07-01 to 2021-12-31,,,,91.10%,,
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,2021-07-01 to 2021-12-31,,43.80%,,,37.50%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2021-07-01 to 2021-12-31,69.50%,,,,,
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,yes,2021-07-01 to 2021-12-31,,84.60%,,45.70%,66.70%,
Vodafone Limited,NO GROUP,no,2021-04-01 to 2021-09-30,,,,75.30%,,
Volkswagen Financial Services (UK) Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,0.00%,,
Xbridge Limited,NO GROUP,no,2021-07-01 to 2021-12-31,,,,84.10%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2021-07-01 to 2021-12-31,39.70%,,58.60%,70.00%,100.00%,
Zopa Bank Limited,NO GROUP,yes,2021-07-01 to 2021-12-31,42.80%,,,,67.40%,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2021-07-01 to 2021-12-31,,64.40%,100.00%,63.70%,61.70%,
Abraxas Insurance Administration Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,49.5%,,49.5%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,01-01-2021 to 30-06-2021,33.3%,,68.8%,,,68.7%
Accredited Insurance (Europe) Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,64.0%,,64.0%
Acm Ulr Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,92.5%,,92.5%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Acromas Insurance Company Limited,SAGA PLC,no,01-08-2020 to 31-01-2021,,,,54.6%,,54.6%
Adrian Flux Insurance Services Group,NO GROUP,no,01-09-2020 to 28-02-2021,,,,6.6%,,6.6%
Advanced Payment Solutions Limited,NO GROUP,no,01-10-2020 to 31-03-2021,77.1%,,,,,77.1%
Ageas Insurance Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,54.6%,,54.6%
Ageas Retail Limited,AGEAS SA-NV,no,01-01-2021 to 30-06-2021,,,,50.5%,,50.5%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,01-01-2021 to 30-06-2021,70.9%,,86.7%,100.0%,100.0%,72.2%
AJ Bell Management Limited,NO GROUP,no,01-10-2020 to 31-03-2021,0.0%,9.5%,,,,9.4%
AJ Bell Securities Limited,AJ BELL PLC,no,01-10-2020 to 31-03-2021,,77.8%,,,46.5%,53.8%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,51.0%,,94.4%,,,73.0%
Allianz Insurance Plc,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,54.9%,,54.9%
Allianz plc,NO GROUP,no,01-01-2021 to 30-06-2021,,,,7.3%,,7.3%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,01-01-2021 to 30-06-2021,75.8%,,,35.3%,,74.1%
American International Group UK Limited,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,01-12-2020 to 31-05-2021,,,,41.7%,,41.7%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,82.4%,,82.4%
Animal Friends Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,yes,01-01-2021 to 30-06-2021,,,,60.2%,,60.2%
Assurant General Insurance Limited,ASSURANT INC,no,01-01-2021 to 30-06-2021,,,,40.2%,,40.2%
Asurion Europe Limited,NEW ASURION CORP,no,01-01-2021 to 30-06-2021,,,,67.8%,,67.8%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,47.4%,,47.4%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,32.5%,,32.5%
Atom Bank PLC,ATOM BANK PLC,no,01-10-2020 to 31-03-2021,42.2%,,48.2%,,,43.3%
Automobile Association Insurance Services Limited,NO GROUP,no,01-08-2020 to 31-01-2021,,,,56.9%,,56.9%
Aviva Insurance Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,39.6%,,39.6%
Aviva Life Services UK Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,51.1%,36.2%,53.6%,45.4%,50.0%
AWP Assistance UK Ltd,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,49.3%,,49.3%
AWP P&C SA,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,63.5%,,63.5%
AXA France IARD,AXA GROUP,no,01-01-2021 to 30-06-2021,,,,81.9%,,81.9%
AXA Insurance UK Plc,AXA SA,no,01-01-2021 to 30-06-2021,,,,25.4%,,25.4%
AXA PPP Healthcare Limited,AXA SA,no,01-01-2021 to 30-06-2021,,,,16.7%,,16.7%
B & C E Financial Services Limited,B&CE HOLDINGS LIMITED,no,01-10-2020 to 31-03-2021,,37.5%,,,,37.5%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,01-01-2021 to 30-06-2021,63.8%,,70.7%,48.5%,55.6%,64.1%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,33.5%,65.2%,33.7%,26.1%,73.4%,33.2%
Barclays Bank Plc,BARCLAYS PLC,no,01-01-2021 to 30-06-2021,20.8%,0.0%,33.3%,,54.5%,20.9%
Barclays Bank UK PLC,BARCLAYS PLC,yes,01-01-2021 to 30-06-2021,34.9%,31.7%,42.4%,36.2%,31.2%,35.6%
Bennetts Motorcycling Services Limited,SAGA PLC,no,01-01-2021 to 30-06-2021,,,,31.4%,,31.4%
BISL Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,55.7%,,55.7%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,42.9%,10.7%,,10.7%
BMW Financial Services(GB) Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,50.0%,,50.0%
Bollington Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,no,01-01-2021 to 30-06-2021,,,,66.3%,,66.3%
Bought By Many Ltd,NO GROUP,no,01-10-2020 to 31-03-2021,,,,67.1%,,67.1%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,01-10-2020 to 31-03-2021,,0.0%,83.3%,46.7%,28.6%,72.6%
Brightside Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,69.3%,,69.3%
British Gas Services Limited,CENTRICA PLC,yes,01-01-2021 to 30-06-2021,,,,23.1%,,23.1%
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,yes,01-01-2021 to 30-06-2021,,,,42.3%,,42.3%
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP COMPANY,no,01-01-2021 to 30-06-2021,,,23.1%,,,23.1%
Call Assist Ltd,CALL ASSIST LIMITED,no,01-11-2020 to 30-04-2021,,,,38.4%,,38.4%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,01-01-2021 to 30-06-2021,72.9%,,,37.4%,,71.3%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,no,01-01-2021 to 30-06-2021,,,,63.5%,,63.5%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,01-01-2021 to 30-06-2021,,,,52.4%,,52.4%
Cater Allen Limited,SANTANDER UK - GROUP,no,01-01-2021 to 30-06-2021,53.7%,,,,,53.7%
Caversham Insurance Limited,NO GROUP,no,16-10-2020 to 15-04-2021,,,,,,
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,01-01-2021 to 30-06-2021,66.1%,,66.8%,,,66.6%
Chubb European Group SE,CHUBB LIMITED,no,01-01-2021 to 30-06-2021,,,,40.1%,,40.1%
Citibank UK Limited,CITIGROUP INC,no,01-01-2021 to 30-06-2021,37.6%,,,,87.9%,39.5%
ClearBank Limited,NO GROUP,no,01-01-2021 to 30-06-2021,87.0%,,,,,87.0%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,01-08-2020 to 31-01-2021,22.9%,,,84.2%,,50.4%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,no,01-10-2020 to 31-03-2021,57.5%,73.3%,60.9%,6.9%,91.7%,30.1%
Cofunds Limited,AEGON GROUP,no,01-01-2021 to 30-06-2021,,56.9%,,,69.2%,68.1%
Collinson Insurance Services Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,94.8%,,94.8%
Connells Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,92.0%,92.0%,,92.0%
Corgi Homeplan Ltd,US BANCORP,no,01-01-2021 to 30-06-2021,,,,67.2%,,67.2%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,52.2%,71.4%,78.3%,56.3%,71.7%,55.8%
Covea Insurance plc,NO GROUP,yes,01-01-2021 to 30-06-2021,,,,68.6%,,68.6%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,25.6%,,53.1%,85.0%,,30.9%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,84.3%,,,100.0%,,84.3%
Creation Financial Services Limited,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,83.5%,,,7.2%,,79.8%
Currys Retail Limited,NO GROUP,no,01-11-2020 to 30-04-2021,,,,56.4%,,56.4%
Curtis Banks Limited,CURTIS BANKS GROUP,no,01-01-2021 to 30-06-2021,,32.0%,,,,32.0%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,01-01-2021 to 30-06-2021,56.8%,,30.0%,,,56.5%
DAS Legal Expenses Insurance Company Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,71.1%,,71.1%
Devitt Insurance Services Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,34.2%,,34.2%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,01-10-2020 to 31-03-2021,,,,64.5%,,64.5%
Drydens Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,100.0%,,,100.0%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,01-10-2020 to 31-03-2021,,,78.4%,,,78.4%
Endsleigh Insurance Services Limited,NO GROUP,no,01-09-2020 to 28-02-2021,,,,60.4%,,60.4%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,01-01-2021 to 30-06-2021,,72.4%,,,47.2%,47.9%
esure Insurance Limited,ESURE GROUP PLC,no,01-01-2021 to 30-06-2021,,,,42.6%,,42.6%
eToro (UK) Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,58.1%,58.1%
EUI Limited,ADMIRAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,,47.7%,,47.7%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,23.1%,,23.1%
Everyday Loans Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,25.0%,,25.0%
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,01-01-2021 to 30-06-2021,,,,12.8%,,12.8%
Experian Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,50.0%,33.3%,,34.9%
Extracover Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Fairmead Insurance Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,64.4%,,64.4%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,01-01-2021 to 30-06-2021,52.7%,,,,59.9%,56.4%
FCE Bank Plc,FORD MOTOR CO,no,01-01-2021 to 30-06-2021,83.0%,,,,,83.0%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,53.9%,,,,53.9%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,67.0%,,,61.0%,62.6%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,01-01-2021 to 30-06-2021,,,,35.8%,,35.8%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,92.6%,,92.6%
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,01-01-2021 to 30-06-2021,,73.9%,,53.2%,62.8%,62.4%
Freetrade Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,,89.8%,89.8%
Fresh Insurance Services Group Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,71.1%,,71.1%
Funding Circle Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,91.4%,91.4%
Gresham Insurance Company Limited,AVIVA PLC,no,01-01-2021 to 30-06-2021,,,,35.5%,,35.5%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,14.6%,,,23.7%,23.5%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,01-01-2021 to 30-06-2021,,66.7%,,,88.3%,88.3%
Hastings Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,56.6%,,56.6%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,,32.5%,32.5%
Henderson Global Investors Limited,JANUS HENDERSON GROUP,no,01-01-2021 to 30-06-2021,,,,,80.3%,80.3%
Highway Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,59.9%,,59.9%
Hitachi Capital (UK) PLC,NO GROUP,no,01-10-2020 to 31-03-2021,,,,33.3%,,33.3%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,01-09-2020 to 28-02-2021,46.7%,,,,,46.7%
Homeserve Membership Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,42.2%,,42.2%
Howserv Limited,STAYSURE HOLDINGS LTD,no,01-01-2021 to 30-06-2021,,,,56.0%,,56.0%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,32.4%,55.2%,55.9%,47.7%,66.0%,34.6%
I Go 4 Ltd.,NO GROUP,no,01-01-2021 to 30-06-2021,,,,34.7%,,34.7%
Ikano Bank AB (publ),NO GROUP,no,01-01-2021 to 30-06-2021,68.2%,,,40.0%,,68.2%
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,01-01-2021 to 30-06-2021,,,,42.2%,,42.2%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,50.3%,,,44.0%,44.5%
Invesco Fund Managers Limited,INVESCO LTD,no,01-01-2021 to 30-06-2021,,,,,81.1%,81.1%
Investec Bank PLC,INVESTEC PLC,no,01-10-2020 to 31-03-2021,15.7%,,38.5%,,65.8%,18.2%
Investment Funds Direct Limited,M&G GROUP,no,01-01-2021 to 30-06-2021,,73.9%,,,70.0%,72.0%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,01-09-2020 to 28-02-2021,,,,60.9%,,60.9%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,01-01-2021 to 30-06-2021,78.6%,,,,,78.6%
James Hay Administration Company Ltd,IFG GROUP LIMITED,no,01-01-2021 to 30-06-2021,,27.9%,,,,27.9%
Kensington Mortgage Company Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,60.7%,,,60.7%
Landmark Mortgages Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,90.4%,,,90.4%
LeasePlan UK Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,100.0%,,100.0%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,23.3%,,46.6%,41.7%,0.0%,37.7%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,74.6%,,,73.3%,74.5%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,,95.7%,90.0%,,95.5%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,01-01-2021 to 30-06-2021,,76.0%,,45.2%,,51.9%
Legal Insurance Management Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,72.8%,,72.8%
Link Market Services Trustees Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,90.5%,90.5%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,01-01-2021 to 30-06-2021,,44.7%,,30.9%,29.0%,34.7%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,01-01-2021 to 30-06-2021,,,,48.9%,,48.9%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,,,,63.7%,,63.7%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,34.7%,74.0%,34.1%,26.8%,68.2%,34.6%
London and Country Mortgages Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,88.6%,95.1%,,89.0%
London General Insurance Company Limited,TWG EUROPE LIMITED,no,01-01-2021 to 30-06-2021,,,,70.8%,,70.8%
M & G Securities Limited,M&G PLC GROUP,no,01-01-2021 to 30-06-2021,,,,,68.9%,68.9%
Markerstudy Insurance Services Limited,MARKERSTUDY (INTERNATIONAL) LIMITED,no,01-01-2021 to 30-06-2021,,,,72.0%,,72.0%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,01-01-2021 to 30-06-2021,15.3%,,88.1%,35.3%,,16.1%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,01-01-2021 to 30-06-2021,33.1%,,,58.1%,,41.9%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,01-01-2021 to 30-06-2021,,,,,,
Metro Bank PLC,METRO BANK PLC,no,01-01-2021 to 30-06-2021,39.2%,,53.9%,,,39.7%
Monzo Bank Ltd,MONZO BANK LIMITED,no,01-09-2020 to 28-02-2021,64.3%,,,73.7%,,64.3%
Moorcroft Debt Recovery Limited,NO GROUP,no,01-08-2020 to 31-01-2021,79.5%,,,,,79.5%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,01-01-2021 to 30-06-2021,38.5%,,,,,38.5%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,01-01-2021 to 30-06-2021,,,,92.7%,,92.7%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,01-10-2020 to 31-03-2021,,,,,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,48.2%,56.0%,57.1%,27.1%,63.4%,48.3%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,05-10-2020 to 04-04-2021,50.1%,66.7%,81.2%,2.1%,82.1%,42.3%
Neilson Financial Services Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,20.5%,,20.5%
Newline Insurance Company Limited,ODYSSEY GROUP HOLDINGS INC,no,01-01-2021 to 30-06-2021,,,,,,
Next Risk Solutions Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,34.1%,,34.1%
Northern Bank Limited,DANSKE BANK A/S,no,01-01-2021 to 30-06-2021,39.0%,,70.3%,75.0%,,40.2%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,01-10-2020 to 31-03-2021,,,82.4%,6.2%,33.3%,32.5%
One Call Insurance Services Limited,NO GROUP,no,01-01-2021 to 30-06-2021,,,,14.4%,,14.4%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,01-01-2021 to 30-06-2021,33.1%,,64.9%,,,47.1%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,01-01-2021 to 30-06-2021,,,,55.0%,,55.0%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,01-10-2020 to 31-03-2021,78.5%,,56.7%,73.5%,,68.5%
Pet Protect Ltd,PET HEALTH INC.,no,01-01-2021 to 30-06-2021,,,,67.5%,,67.5%
Phoenix Life Assurance Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,49.8%,0.0%,59.9%,51.1%,52.7%
Phoenix Life Limited,PHOENIX GROUP HOLDINGS PLC,no,01-01-2021 to 30-06-2021,,46.9%,66.7%,39.1%,50.7%,44.1%
Pinnacle Insurance Plc,BNP PARIBAS SA,no,01-01-2021 to 30-06-2021,,,,53.4%,,53.4%
Post Office Management Services Limited,POST OFFICE LIMITED,no,01-10-2020 to 31-03-2021,,,,65.0%,,65.0%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,01-01-2021 to 30-06-2021,56.2%,,55.3%,66.7%,80.0%,56.0%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,01-01-2021 to 30-06-2021,,,,67.8%,,67.8%
Qmetric Group Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,59.8%,,59.8%
Quilter Investment Platform Limited,QUILTER PLC,no,01-01-2021 to 30-06-2021,,,,,91.4%,91.4%
Quilter Life & Pensions Limited,QUILTER PLC GROUP,no,01-01-2021 to 30-06-2021,,89.8%,,,91.9%,90.1%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,01-01-2021 to 30-06-2021,,,,,,
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,no,01-01-2021 to 30-06-2021,,,,,77.5%,77.5%
RCI Financial Services Limited,RENAULT,no,01-01-2021 to 30-06-2021,,,,0.0%,,0.0%
ReAssure Limited,SWISS RE AG,no,01-01-2021 to 30-06-2021,,75.8%,50.0%,76.7%,78.7%,76.7%
Resolution Compliance Limited,NO GROUP,no,01-10-2020 to 31-03-2021,,,,0.0%,95.2%,95.1%
Retail Money Market Ltd,RETAIL MONEY MARKET LTD,no,01-01-2021 to 30-06-2021,,,,,33.8%,33.8%
Right Choice Insurance Brokers Ltd,NO GROUP,no,01-01-2021 to 30-06-2021,,,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,01-01-2021 to 30-06-2021,,,,38.7%,,38.7%
